Project Name,Total Commits,AI Copilot Commits,AI Copilot %,AI Manual Commits,AI Manual %,No AI Commits,No AI %
notary-batch-data-us,1,0,0.0,0,0.0,1,100.0
vector-store,4,0,0.0,0,0.0,4,100.0
Pipelines,22,0,0.0,0,0.0,22,100.0
n8n-tech-sp,1,0,0.0,0,0.0,1,100.0
backstage-teste02,1,0,0.0,0,0.0,1,100.0
notary-response,1,0,0.0,0,0.0,1,100.0
notary-process,1,0,0.0,0,0.0,1,100.0
backstage-teste004,1,0,0.0,0,0.0,1,100.0
teste-backstage,1,0,0.0,0,0.0,1,100.0
teste010111,1,0,0.0,0,0.0,1,100.0
teste-backstage001,4,0,0.0,0,0.0,4,100.0
notary-file-watch,1,0,0.0,0,0.0,1,100.0
teste01011,1,0,0.0,0,0.0,1,100.0
teste01012,1,0,0.0,0,0.0,1,100.0
teste010122,1,0,0.0,0,0.0,1,100.0
teste03,1,0,0.0,0,0.0,1,100.0
notary-response,2,0,0.0,0,0.0,2,100.0
test-pvt-models-2,100,0,0.0,0,0.0,100,100.0
notary-process,3,0,0.0,0,0.0,3,100.0
notary-file-watch,2,0,0.0,0,0.0,2,100.0
teste0111,4,0,0.0,0,0.0,4,100.0
k6-docker-image,5,0,0.0,0,0.0,5,100.0
teste0012,1,0,0.0,0,0.0,1,100.0
di-flight-control-app,6,0,0.0,0,0.0,6,100.0
di-flight-control-app,1,0,0.0,0,0.0,1,100.0
modulo-recorrencia-gke,52,0,0.0,0,0.0,52,100.0
teste006,1,0,0.0,0,0.0,1,100.0
ms-proxy-recorrencia,35,0,0.0,0,0.0,35,100.0
teste005,1,0,0.0,0,0.0,1,100.0
teste004,0,0,0,0,0,0,0
teste003,0,0,0,0,0,0,0
teste001,0,0,0,0,0,0,0
api-comunica-gcp,1,0,0.0,0,0.0,1,100.0
api-comunica-gcp,2,0,0.0,0,0.0,2,100.0
poc-vertex-ai,1,0,0.0,0,0.0,1,100.0
auto_ml-pipeline-template,14,0,0.0,0,0.0,14,100.0
report-platform-core-engine,9,0,0.0,0,0.0,9,100.0
langfuse-tech-sp,5,0,0.0,1,20.0,4,80.0
test-pvt-models,1,0,0.0,0,0.0,1,100.0
data-services,1,0,0.0,0,0.0,1,100.0
Toolbox,2,0,0.0,0,0.0,2,100.0
ML Pipeline,2,0,0.0,0,0.0,2,100.0
ms-query-api,29,0,0.0,0,0.0,29,100.0
scr_crd_pf_vei_motos_brad,1,0,0.0,0,0.0,1,100.0
test_cosmodemo05,1,0,0.0,0,0.0,1,100.0
scpc-net-pj-positivo-web,1,0,0.0,0,0.0,1,100.0
scpc-net-pj-positivo-web,1,0,0.0,0,0.0,1,100.0
test_testes,1,0,0.0,0,0.0,1,100.0
test_cosmodemo04,1,0,0.0,0,0.0,1,100.0
ms-query-api,29,0,0.0,0,0.0,29,100.0
ms-neg-api,56,0,0.0,0,0.0,56,100.0
goanywhere-recommendation-explained-integration,1,0,0.0,0,0.0,1,100.0
Composer Airflow DI2,1,0,0.0,0,0.0,1,100.0
goanywhere-recommendation-explained-integration,1,0,0.0,0,0.0,1,100.0
automacao-apigee,3,0,0.0,0,0.0,3,100.0
Roteiro Negócios Analíticos,2,0,0.0,0,0.0,2,100.0
scr_crd_pf_ccr_ger_c6,1,0,0.0,0,0.0,1,100.0
default_polarsaademov2,1,0,0.0,0,0.0,1,100.0
marcacao_pj_extras,6,0,0.0,0,0.0,6,100.0
scr_crd_pj_vei_ger_p7,1,0,0.0,0,0.0,1,100.0
RPA0013-SYNCHRO,2,0,0.0,0,0.0,2,100.0
RPA0001-REPORT-GENERICO,2,0,0.0,0,0.0,2,100.0
