=== DETALHAMENTO POR BRANCH (Últimos 10 Commits) ===
Data de Geração: 02/10/2025 17:21:19
""
Projeto,Grupo,Branch,Usuários,Total Commits,Commits com IA,% IA,Commits sem IA,% sem IA
vector-store,bruno.rateiro,master,3,4,0,0.0,4,100.0
notary-batch-data-us,argocd,master,1,1,0,0.0,1,100.0
Pipelines,data/dados-negativos/negativacao/infrastructure,main,1,10,0,0.0,10,100.0
n8n-tech-sp,argocd,master,1,1,0,0.0,1,100.0
ms-reports-proc,tech/site-reliability-engineering/recuperacao/negativacao-estrategica/scpc-notification,main,2,2,0,0.0,2,100.0
ms-reports-proc,recuperacao/negativacao-estrategica/scpc-notification,development,1,1,0,0.0,1,100.0
ms-reports-proc,recuperacao/negativacao-estrategica/scpc-notification,homolog,1,1,0,0.0,1,100.0
ms-reports-proc,recuperacao/negativacao-estrategica/scpc-notification,main,1,1,0,0.0,1,100.0
notary-file-watch,tech/site-reliability-engineering/tech/bigdata/data-engineering/d2c/notary-batch,main,1,1,0,0.0,1,100.0
notary-process,tech/site-reliability-engineering/tech/bigdata/data-engineering/d2c/notary-batch,main,1,1,0,0.0,1,100.0
notary-response,tech/site-reliability-engineering/tech/bigdata/data-engineering/d2c/notary-batch,main,1,1,0,0.0,1,100.0
backstage-teste02,tech/site-reliability-engineering/sre-evolution,development,1,1,0,0.0,1,100.0
backstage-teste02,tech/site-reliability-engineering/sre-evolution,homolog,1,1,0,0.0,1,100.0
backstage-teste02,tech/site-reliability-engineering/sre-evolution,main,1,1,0,0.0,1,100.0
backstage-teste004,tech/site-reliability-engineering/sre-evolution,development,1,1,0,0.0,1,100.0
backstage-teste004,tech/site-reliability-engineering/sre-evolution,homolog,1,1,0,0.0,1,100.0
backstage-teste004,tech/site-reliability-engineering/sre-evolution,main,1,1,0,0.0,1,100.0
teste-backstage001,tech/site-reliability-engineering/sre-evolution,development,1,1,0,0.0,1,100.0
teste-backstage001,tech/site-reliability-engineering/sre-evolution,homolog,1,1,0,0.0,1,100.0
teste-backstage001,tech/site-reliability-engineering/sre-evolution,main,2,4,0,0.0,4,100.0
teste010111,vitor.perin,development,1,1,0,0.0,1,100.0
teste010111,vitor.perin,homolog,1,1,0,0.0,1,100.0
teste010111,vitor.perin,main,1,1,0,0.0,1,100.0
teste010122,vitor.perin,development,1,1,0,0.0,1,100.0
teste010122,vitor.perin,homolog,1,1,0,0.0,1,100.0
teste010122,vitor.perin,main,1,1,0,0.0,1,100.0
teste01012,vitor.perin,development,1,1,0,0.0,1,100.0
teste01012,vitor.perin,homolog,1,1,0,0.0,1,100.0
teste01012,vitor.perin,main,1,1,0,0.0,1,100.0
teste01011,vitor.perin,development,1,1,0,0.0,1,100.0
teste01011,vitor.perin,homolog,1,1,0,0.0,1,100.0
teste01011,vitor.perin,main,1,1,0,0.0,1,100.0
test-pvt-models-2,konduto/mle,master,3,10,0,0.0,10,100.0
teste03,vitor.perin,development,1,1,0,0.0,1,100.0
teste03,vitor.perin,homolog,1,1,0,0.0,1,100.0
teste03,vitor.perin,main,1,1,0,0.0,1,100.0
test-pvt-models,konduto/mle,master,1,1,0,0.0,1,100.0
teste-backstage,tech/site-reliability-engineering/sre-evolution,development,1,1,0,0.0,1,100.0
teste-backstage,tech/site-reliability-engineering/sre-evolution,homolog,1,1,0,0.0,1,100.0
teste-backstage,tech/site-reliability-engineering/sre-evolution,main,1,1,0,0.0,1,100.0
notary-process,tech/bigdata/data-engineering/d2c/notary-batch,development,1,1,0,0.0,1,100.0
notary-process,tech/bigdata/data-engineering/d2c/notary-batch,homolog,1,1,0,0.0,1,100.0
notary-process,tech/bigdata/data-engineering/d2c/notary-batch,main,2,3,0,0.0,3,100.0
notary-response,tech/bigdata/data-engineering/d2c/notary-batch,development,1,1,0,0.0,1,100.0
notary-response,tech/bigdata/data-engineering/d2c/notary-batch,homolog,1,1,0,0.0,1,100.0
notary-response,tech/bigdata/data-engineering/d2c/notary-batch,main,2,2,0,0.0,2,100.0
k6-docker-image,gabriel.rocha,main,2,5,0,0.0,5,100.0
notary-file-watch,tech/bigdata/data-engineering/d2c/notary-batch,development,1,2,0,0.0,2,100.0
notary-file-watch,tech/bigdata/data-engineering/d2c/notary-batch,homolog,1,2,0,0.0,2,100.0
notary-file-watch,tech/bigdata/data-engineering/d2c/notary-batch,main,1,2,0,0.0,2,100.0
teste0111,vitor.perin,development,1,1,0,0.0,1,100.0
teste0111,vitor.perin,homolog,1,1,0,0.0,1,100.0
teste0111,vitor.perin,main,2,4,0,0.0,4,100.0
teste0012,vitor.perin,development,1,1,0,0.0,1,100.0
teste0012,vitor.perin,homolog,1,1,0,0.0,1,100.0
teste0012,vitor.perin,main,1,1,0,0.0,1,100.0
di-flight-control-app,tech/site-reliability-engineering/data/dados-inovacao/api,main,3,6,0,0.0,6,100.0
di-flight-control-app,data/dados-inovacao/api,development,1,1,0,0.0,1,100.0
di-flight-control-app,data/dados-inovacao/api,homolog,1,1,0,0.0,1,100.0
di-flight-control-app,data/dados-inovacao/api,main,1,1,0,0.0,1,100.0
ms-proxy-recorrencia,thomas.ferreira,master,6,10,0,0.0,10,100.0
modulo-recorrencia-gke,thomas.ferreira,main,5,10,0,0.0,10,100.0
teste006,vitor.perin,development,1,1,0,0.0,1,100.0
teste006,vitor.perin,homolog,1,1,0,0.0,1,100.0
teste006,vitor.perin,main,1,1,0,0.0,1,100.0
teste005,vitor.perin,development,1,1,0,0.0,1,100.0
teste005,vitor.perin,homolog,1,1,0,0.0,1,100.0
teste005,vitor.perin,main,1,1,0,0.0,1,100.0
api-comunica-gcp,tech/site-reliability-engineering/recuperacao/negativacao-estrategica,main,2,2,0,0.0,2,100.0
poc-vertex-ai,tech/site-reliability-engineering/sre-evolution,main,1,1,0,0.0,1,100.0
report-platform-core-engine,caio.alves,main,2,9,0,0.0,9,100.0
api-comunica-gcp,recuperacao/negativacao-estrategica,development,1,1,0,0.0,1,100.0
api-comunica-gcp,recuperacao/negativacao-estrategica,homolog,1,1,0,0.0,1,100.0
api-comunica-gcp,recuperacao/negativacao-estrategica,main,1,1,0,0.0,1,100.0
langfuse-tech-sp,argocd,master,3,6,1,16.67,5,83.33
auto_ml-pipeline-template,analytics/modelagem/ferramentas,main,1,10,0,0.0,10,100.0
ML Pipeline,analytics/modelagem/ferramentas,main,2,2,0,0.0,2,100.0
ms-query-api,tr_rssouza,main,1,10,0,0.0,10,100.0
Toolbox,analytics/modelagem/ferramentas,main,2,2,0,0.0,2,100.0
data-services,report-platform/parent,development,1,1,0,0.0,1,100.0
data-services,report-platform/parent,homolog,1,1,0,0.0,1,100.0
data-services,report-platform/parent,main,1,1,0,0.0,1,100.0
scr_crd_pf_vei_motos_brad,analytics/plataforma-analytics/modelos-cea/customizado/credito/2025/pf,homolog,1,1,0,0.0,1,100.0
scr_crd_pf_vei_motos_brad,analytics/plataforma-analytics/modelos-cea/customizado/credito/2025/pf,master,1,1,0,0.0,1,100.0
test_cosmodemo05,analytics/plataforma-analytics/modelos-cea/test,homolog,1,1,0,0.0,1,100.0
test_cosmodemo05,analytics/plataforma-analytics/modelos-cea/test,master,1,1,0,0.0,1,100.0
scpc-net-pj-positivo-web,tech/site-reliability-engineering/credit-services/scpc,main,1,1,0,0.0,1,100.0
scpc-net-pj-positivo-web,credit-services/scpc,development,2,3,0,0.0,3,100.0
scpc-net-pj-positivo-web,credit-services/scpc,homolog,1,1,0,0.0,1,100.0
scpc-net-pj-positivo-web,credit-services/scpc,main,1,1,0,0.0,1,100.0
test_cosmodemo04,analytics/plataforma-analytics/modelos-cea/test,homolog,1,1,0,0.0,1,100.0
test_cosmodemo04,analytics/plataforma-analytics/modelos-cea/test,master,1,1,0,0.0,1,100.0
ms-neg-api,gabriel.peixoto,main,1,10,0,0.0,10,100.0
test_testes,analytics/plataforma-analytics/modelos-cea/test,homolog,1,1,0,0.0,1,100.0
test_testes,analytics/plataforma-analytics/modelos-cea/test,master,1,1,0,0.0,1,100.0
ms-query-api,gabriel.peixoto,main,1,10,0,0.0,10,100.0
automacao-apigee,jonas.eduardo,main,2,3,0,0.0,3,100.0
Composer Airflow DI2,tech/bigdata/platform,main,1,1,0,0.0,1,100.0
goanywhere-recommendation-explained-integration,pablo.rabelo,development,1,1,0,0.0,1,100.0
goanywhere-recommendation-explained-integration,pablo.rabelo,homolog,1,1,0,0.0,1,100.0
goanywhere-recommendation-explained-integration,pablo.rabelo,main,2,2,0,0.0,2,100.0
Roteiro Negócios Analíticos,consulting-team,main,1,2,0,0.0,2,100.0
