=== RELATÓRIO DE ADOÇÃO DE INTELIGÊNCIA ARTIFICIAL (Últimos 10 Commits) ===
Data de Geração: 02/10/2025 19:37:00
""
RESUMO POR PROJETO
Projeto,Grupo,Usuários Commits,Total Commits,Commits com IA,% IA,Commits sem IA,% sem IA,% do Total Geral
tubolayer,tech/site-reliability-engineering/tech/bigdata/platform/serving-layer-platform,1,1,0,0.0,1,100.0,0.0022
scr_crd_pj_sta_deploy_v05,analytics/plataforma-analytics/modelos-cea/mercado/credito/2025/pj,1,1,0,0.0,1,100.0,0.0022
scr_crd_pj_sta_deploy_fv03,analytics/plataforma-analytics/modelos-cea/mercado/credito/2025/pj,1,1,0,0.0,1,100.0,0.0022
scr_crd_pj_sta_deploy_v04,analytics/plataforma-analytics/modelos-cea/mercado/credito/2025/pj,2,11,0,0.0,11,100.0,0.0242
scr_crd_pj_sta_deploy_v06,analytics/plataforma-analytics/modelos-cea/mercado/credito/2025/pj,2,11,0,0.0,11,100.0,0.0242
tubolayer,tech/bigdata/platform/serving-layer-platform,1,1,0,0.0,1,100.0,0.0022
scr_crd_pj_sta_deploy_v03,analytics/plataforma-analytics/modelos-cea/mercado/credito/2025/pj,2,11,0,0.0,11,100.0,0.0242
scr_crd_pj_sta_deploy_v02,analytics/plataforma-analytics/modelos-cea/mercado/credito/2025/pj,3,13,0,0.0,13,100.0,0.0286
scr_crd_pj_sta_deploy_v01,analytics/plataforma-analytics/modelos-cea/mercado/credito/2025/pj,2,11,0,0.0,11,100.0,0.0242
scr_crd_pf_ger_dig_casasbahia,analytics/plataforma-analytics/modelos-cea/customizado/credito/2025/pf,1,1,0,0.0,1,100.0,0.0022
scr_crd_pj_sta_deploy_fv01,analytics/plataforma-analytics/modelos-cea/mercado/credito/2025/pj,1,1,0,0.0,1,100.0,0.0022
scr_crd_pj_sta_deploy_fv02,analytics/plataforma-analytics/modelos-cea/mercado/credito/2025/pj,1,1,0,0.0,1,100.0,0.0022
scpc-api-cli,recuperacao/negativacao-estrategica/scpc-notification/lib,4,11,0,0.0,11,100.0,0.0242
study_carrefour,analytics/plataforma-analytics/modelos-cea/study,1,1,0,0.0,1,100.0,0.0022
scr_crd_pf_vei_ger_p7featvei2,analytics/plataforma-analytics/modelos-cea/customizado/credito/2025/pf,3,7,0,0.0,7,100.0,0.0154
scr_fpd_pf_ger_ger_p7featfpd,analytics/plataforma-analytics/modelos-cea/customizado/first_payment_default/2025/pf,2,11,0,0.0,11,100.0,0.0242
relatorio-credito-pj-bff,credit-services/relatorio-credito-pj,3,10,0,0.0,10,100.0,0.022
dynatrace-extractor,tech/site-reliability-engineering/automacoes/gke_manifests,2,4,0,0.0,4,100.0,0.0088
